19:01:51出勤
19:02:05出勤
19:17:54出勤
19:17:57退勤
19:19:02出勤
19:19:04退勤
19:20:52出勤
19:20:54退勤
19:22:38出勤
19:22:40退勤
19:26:52出勤
19:26:54退勤
19:28:15出勤
19:28:23退勤
19:34:48出勤
19:34:55退勤
19:47:57,出勤
19:47:59,退勤
19:49:01,出勤
19:49:03,退勤
19:52:25,出勤
19:53:45,出勤
19:53:47,退勤
20:03:38,出勤
20:03:40,退勤
19:11:13,出勤
19:11:16,退勤
19:19:47,出勤
19:19:53,退勤
19:25:36,出勤
19:25:39,休憩開始
19:25:42,休憩開始
19:25:45,退勤
19:29:43,出勤
19:29:46,休憩開始
19:29:48,退勤
19:29:50,休憩開始
19:30:06,出勤
19:30:07,休憩開始
19:30:09,退勤
19:30:11,休憩開始
19:35:18,出勤
19:35:20,休憩開始
19:35:23,休憩終了
19:35:25,退勤
19:35:27,出勤
19:35:29,休憩開始
19:35:31,休憩開始
19:35:32,休憩終了
19:35:34,退勤
19:35:39,退勤
19:36:47,出勤
19:36:49,休憩開始
19:36:51,休憩終了
19:36:53,退勤
19:36:55,出勤
19:36:57,休憩開始
19:36:59,休憩終了
19:37:01,退勤
19:37:04,出勤
19:37:05,出勤
19:50:44,出勤
19:50:46,休憩開始
19:50:48,休憩終了
19:50:50,退勤
19:50:52,出勤
19:50:54,休憩開始
19:50:57,休憩開始
19:50:58,休憩終了
19:51:00,退勤
19:51:06,出勤
19:51:08,出勤
19:51:09,休憩開始
19:51:12,休憩開始
19:51:13,休憩終了
19:51:14,休憩終了
19:51:15,退勤
19:52:40,出勤
19:52:43,出勤
19:53:30,出勤
19:53:32,休憩開始
19:53:34,休憩終了
19:53:35,退勤
